apyg	apyl	apyg_nr	apyl_nr	apgapl_abbrev	apygapyl_hash
Saulės	Gegužių	24	30	Saulės(24)-Gegužių(30)	f806992c
Saulės	Dariaus	24	31	Saulės(24)-Dariaus(31)	f778b838
Saulės	Lieporių	24	33	Saulės(24)-Lieporių(33)	63f9a9ee
Saulės	Senojo	24	35	Saulės(24)-Senojo(35)	e2643baa
Saulės	Rėkyvos	24	44	Saulės(24)-Rėkyvos(44)	6a188c38
Aušros	Medelyno	25	2	Aušros(25)-Medelyno(2)	d6b972c2
Aušros	Purienų	25	3	Aušros(25)-Purienų(3)	49c6643a
Aušros	Basanavičiaus	25	4	Aušros(25)-Basanavičiaus(4)	5644299b
Aušros	Čiurlionio	25	5	Aušros(25)-Čiurlionio(5)	f5f67b38
Aušros	Kudirkos	25	6	Aušros(25)-Kudirkos(6)	2fe7cfbe
Aušros	Vijolių	25	8	Aušros(25)-Vijolių(8)	a14778fb
Aušros	Jovaro	25	9	Aušros(25)-Jovaro(9)	3f824084
Aušros	Parko	25	10	Aušros(25)-Parko(10)	e8f54d2e
Aušros	Varpo	25	11	Aušros(25)-Varpo(11)	25b7e7d6
Aušros	Janonio	25	13	Aušros(25)-Janonio(13)	3fa055ae
Aušros	Kražių	25	18	Aušros(25)-Kražių(18)	60aed97c
Aušros	Ragainės	25	24	Aušros(25)-Ragainės(24)	cc68b600
Aušros	Žaliūkių	25	29	Aušros(25)-Žaliūkių(29)	5779ab5d
Aušros	Aido	25	37	Aušros(25)-Aido(37)	7a7b15aa
