b1	b2	b3	b4	b5	partija	apylinkė
2	29	-	-	-	LTSąrašas	Dzūkijos(69)-Gluosninkų(22)
1	2	3	11	15	LTSąrašas	Žiemgalos(46)-Ūdekų(37)
1	2	3	9	17	DrąsosKelias	Plungės(35)-Aleksandravo(8)
1	2	4	11	14	LenkųAkcija	Žiemgalos(46)-Stupurų(24)
1	2	5	7	17	DrąsosKelias	Šalčininkų(56)-Dailidžių(35)
1	4	8	9	10	LiaudiesP	Akmenės(39)-Gulbinų(10)
1	6	25	-	-	LaisvSąjung	Dzūkijos(69)-Gluosninkų(22)
3	4	5	8	12	Liberalai	Kelmės(41)-Vidsodžio(40)
3	5	6	8	10	LaisvSąjung	Nalšios(53)-Ceikinių(3)
32	-	-	-	-	LTSąrašas	Nalšios(53)-Mielagėnų(17)
4	5	11	12	-	Tautininkai	Raseinių(42)-Paliepių(21)
6	26	-	-	-	DrąsosKelias	Mažeikių(38)-Gabijos(4)
1	10	22	-	-	DrąsosKelias	Nemenčinės(55)-Glitiškių(34)
1	2	4	11	15	LTSąrašas	Pajūrio(22)-Jūreivių(62)
1	2	4	11	15	LTSąrašas	Akmenės(39)-Lūšės(34)
1	2	7	10	13	LaisvSąjung	Žiemgalos(46)-Plikiškių(13)
1	2	8	10	12	LenkųAkcija	Molėtų(54)-Suginčių(21)
